iter	Passed	Remaining
0	96	22359
1	129	14939
2	164	12536
3	191	10897
4	218	9926
5	246	9280
6	273	8784
7	301	8432
8	327	8112
9	353	7841
10	381	7656
11	407	7472
12	434	7327
13	462	7196
14	487	7058
15	513	6938
16	540	6829
17	566	6734
18	591	6635
19	619	6569
20	647	6502
21	674	6440
22	701	6371
23	726	6292
24	753	6239
25	781	6189
26	807	6128
27	834	6079
28	861	6027
29	888	5980
30	914	5928
31	939	5871
32	972	5864
33	999	5820
34	1026	5776
35	1052	5729
36	1079	5690
37	1107	5652
38	1135	5618
39	1161	5575
40	1188	5536
41	1215	5496
42	1241	5458
43	1268	5421
44	1295	5384
45	1322	5346
46	1348	5307
47	1375	5272
48	1401	5234
49	1428	5198
50	1454	5163
51	1481	5129
52	1507	5092
53	1534	5057
54	1560	5022
55	1587	4988
56	1614	4955
57	1641	4925
58	1668	4891
59	1695	4859
60	1721	4826
61	1748	4793
62	1774	4759
63	1799	4724
64	1826	4693
65	1853	4661
66	1880	4631
67	1906	4599
68	1933	4567
69	1971	4563
70	2005	4547
71	2033	4517
72	2058	4483
73	2086	4453
74	2112	4422
75	2140	4394
76	2167	4363
77	2194	4332
78	2221	4301
79	2248	4272
80	2274	4240
81	2302	4211
82	2329	4180
83	2356	4151
84	2383	4122
85	2411	4093
86	2438	4063
87	2465	4033
88	2489	4000
89	2517	3971
90	2544	3942
91	2572	3914
92	2598	3884
93	2626	3856
94	2652	3825
95	2677	3793
96	2704	3763
97	2730	3733
98	2756	3703
99	2784	3674
100	2810	3645
101	2837	3616
102	2863	3586
103	2890	3557
104	2916	3527
105	2947	3503
106	2975	3475
107	3000	3445
108	3026	3415
109	3053	3386
110	3079	3356
111	3105	3326
112	3132	3299
113	3160	3270
114	3187	3242
115	3213	3213
116	3240	3185
117	3266	3155
118	3294	3128
119	3319	3098
120	3346	3069
121	3371	3040
122	3398	3011
123	3423	2981
124	3451	2954
125	3479	2927
126	3505	2898
127	3531	2869
128	3557	2840
129	3584	2812
130	3611	2784
131	3639	2757
132	3666	2728
133	3692	2700
134	3717	2671
135	3744	2643
136	3771	2615
137	3797	2586
138	3823	2558
139	3850	2530
140	3876	2502
141	3903	2474
142	3929	2445
143	3958	2418
144	3984	2390
145	4012	2363
146	4038	2334
147	4065	2307
148	4092	2279
149	4118	2251
150	4146	2224
151	4173	2196
152	4200	2168
153	4228	2141
154	4253	2112
155	4283	2086
156	4313	2060
157	4340	2032
158	4368	2005
159	4395	1977
160	4421	1949
161	4446	1921
162	4473	1893
163	4499	1865
164	4524	1837
165	4550	1809
166	4575	1780
167	4601	1752
168	4627	1725
169	4654	1697
170	4680	1669
171	4708	1642
172	4735	1614
173	4762	1587
174	4790	1560
175	4816	1532
176	4843	1505
177	4871	1477
178	4897	1450
179	4972	1436
180	4999	1408
181	5025	1380
182	5051	1352
183	5078	1324
184	5103	1296
185	5130	1268
186	5157	1241
187	5185	1213
188	5211	1185
189	5239	1158
190	5266	1130
191	5293	1102
192	5321	1075
193	5349	1047
194	5375	1019
195	5402	992
196	5429	964
197	5457	937
198	5483	909
199	5510	881
200	5535	853
201	5564	826
202	5591	798
203	5619	771
204	5645	743
205	5672	715
206	5699	688
207	5726	660
208	5752	633
209	5779	605
210	5805	577
211	5831	550
212	5859	522
213	5885	495
214	5912	467
215	5942	440
216	5970	412
217	5999	385
218	6027	357
219	6053	330
220	6079	302
221	6108	275
222	6135	247
223	6162	220
224	6189	192
225	6216	165
226	6243	137
227	6273	110
228	6299	82
229	6325	55
230	6353	27
231	6380	0
